"","ITEM","Week End Date","PPG_Parent","ITEM_NAME","LDESC","SECTOR 2","CATEGORY","TRADING COMPANY","PRODUCT RANGE","BRAND","FORMAT","Units","Value","Volume","Price per Unit","Price per L/KG","TDP (w)","ACV Distribution","ACV Distribution (w)","ACV Distribution (C) (any promo)","ACV Distribution (C) (feature and displa","ACV Distribution (C) (display only)","ACV Distribution (C) (feature only)","ACV Distribution (C) (Unsupported)","ACV Distribution (C) (total multibuy)","ACV Distribution (C) (multibuy and featu...24","ACV Distribution (C) (multibuy and displ","ACV Distribution (C) (multibuy and featu...26","ACV Distribution (C) (multibuy only)","Numeric Distribution","Stores in Universe","Value (C) (any promo)","Value (C) (feature and display)","Value (C) (display only)","Value (C) (feature only)","Value (C) (Unsupported)","Value (C) (total multibuy)","Volume (C) (any promo)","Volume (C) (feature and display)","Volume (C) (display only)","Volume (C) (feature only)","Volume (C) (Unsupported)","Volume (C) (total multibuy)","Units (C) (any promo)","Units (C) (feature and display)","Units (C) (display only)","Units (C) (feature only)","Units (C) (Unsupported)","Units (C) (total multibuy)","Base Value","Base Volume","Base Units","Base Units (any promo)","Base Units (feature and display)","Base Units (display only)","Base Units (feature only)","Base Units (Unsupported)","Base Units (total multibuy)","Base Volume (any promo)","Base Volume (feature and display)","Base Volume (display only)","Base Volume (feature only)","Base Volume (Unsupported)","Base Volume (total multibuy)","Base Value (any promo)","Base Value (feature and display)","Base Value (display only)","Base Value (feature only)","Base Value (Unsupported)","Base Value (total multibuy)","ACV Distribution Multibuy_Feature_Display","ACV Distribution Multibuy_Feature","UPC_EAN_Betas","BasePrice_Betas","Total Regular Price Elasticiy_Betas","Regular Price Elasticity_Betas","Reg Price Ratio Rest of Brand_Betas","Reg Price Ratio Rest of Manufacturer_Betas","Reg Price Ratio Rest of Category_Betas","Promoted Price Elasticity_Betas","Display Only_Betas","Feature Only_Betas","Feature and Display_Betas","Multi Buy_Betas","Total Multibuy Effect_Betas","Flag_Modeled_Betas","Actual Price","Regular Price","5th Largest Regular Price","Mean Actual Units","Price Change Index","Inc TPR only","Inc TPR + Feature Only","Inc TPR + Display Only","TPR+Feature+Dsiplay","Inc Multibuy + Feature Only","Inc Multibuy + Display Only","Inc Multibuy + Feature + Display","Inc Total Multibuy Only","Total Incremental Unit Sales","Inc Display Only","Total Predicted Unit Sales","Diff (Pred - Actual)","Abs Error %","Actual - Mean(Actual)","MAPE %","R Square %","PPG","PPG_Description","Flag_PPG","No_Of_Units","STP_Case","MRRP_Unit","BIP_Case","OID","COGS_Case","VAT","RSP_Cost_Bible_Unit","Flag_RB_Financial","Net_Cost_Case","Net_Cost_Unit","COGS_Unit","STP_Unit","UNCR_Unit","OID_Unit","Row_ID","Flag_funding","RSP_Unit","Promo_Price","FM_Abs_Unit_1","FM_Percent_1","Retro_Fund_Unit","COGS_Total","Net_Cost_Total","Gross_Sales","Retro_Fund_Total","UNCR_Total","OID_Total","NIS","Date","Flag_TPR_HEA","Flag_Display_HEA","DISPLAY TYPE_HEA","Weekly Cost","Net invetsments_HEA","Flag_HEA","Flag_ACV_C","Display&Feature","Flag_F&D_C","Retailer","Country","R_Total_Sales","R_Gross_Sales_Base","R_Gross_Sales_Inc","R_Gross_Sales_Total","R_UNCR_Base","R_UNCR_Inc","R_UNCR_Total","R_OID_Base","R_OID_Inc","R_OID_Total","R_Retro_Base","R_Retro_Inc","R_Retro_Total","R_NIS_Base","R_NIS_Inc","R_NIS_Total","R_COGS_Base","R_COGS_Inc","R_COGS_Total","R_Display_Fee_Base","R_Display_Fee_Inc","R_Display_Fee_Total","R_Total_Trade_Inv_Base","R_Total_Trade_Inv_Inc","R_Total_Trade_Inv_Total","R_Net_Revenue_Base","R_Net_Revenue_Inc","R_Net_Revenue_Total","R_GM_Base","R_GM_Inc","R_GM_Total","FM_Abs_Unit_2","FM_Total","Retailer_Revenue","DL","NL","S","Trade_Investment","Net_Revenue","GM_Abs","Inc_GM_Abs","Inc_Revenue","Inc_NIS"
"1",1679970,2024-01-01,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",5,97.5,2.4,0,0,1,0.0952402085942657,0.0952402085942657,0.0952402085942657,0,0,0.0952402085942657,1,0,0,0,0,0,0.142857142857143,7,97.5,0,0,97.5,0,0,2.4,0,0,2.4,0,0,5,0,0,5,0,0,39,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,39,0,0,39,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,19.5,19.5,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-3,60,-153.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"1",1,17,19.5,-0.249523809523811,-0.0154117647058825,0,17.6,82.2,97.5,0,-12.5,0,110,2024-01-01,0,0,"0",0,0,0,0,0.0952402085942657,0,"Carrefour","UAE",2,32.88,0,32.88,-5,0,-5,0,0,0,0,0,0,37.88,0,37.88,7.04,0,7.04,0,0,0,-5,0,-5,37.88,0,37.88,30.84,0,30.84,2.13142857142857,10.6571428571428,97.5,0,0,0,-12.5,110,92.4,0,0,0
"2",1679970,2024-01-02,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",4,78,1.92,0,0,2,0.261071730529627,0.261071730529627,0.261071730529627,0,0,0.261071730529627,1,0,0,0,0,0,0.285714285714286,7,78,0,0,78,0,0,1.92,0,0,1.92,0,0,4,0,0,4,0,0,39,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,39,0,0,39,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,19.5,19.5,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-2,50,-154.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"2",1,17,19.5,-0.249523809523811,-0.0154117647058825,0,14.08,65.76,78,0,-10,0,88,2024-01-02,0,0,"0",0,0,0,0,0.261071730529627,0,"Carrefour","UAE",2,32.88,0,32.88,-5,0,-5,0,0,0,0,0,0,37.88,0,37.88,7.04,0,7.04,0,0,0,-5,0,-5,37.88,0,37.88,30.84,0,30.84,2.13142857142857,8.52571428571427,78,0,0,0,-10,88,73.92,0,0,0
"3",1679970,2024-01-03,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",8,136,3.84,0,0,4,0.559016657705815,0.559016657705815,0.559016657705815,0,0,0.559016657705815,1,0,0,0,0,0,0.571428571428571,7,136,0,0,136,0,0,3.84,0,0,3.84,0,0,8,0,0,8,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-6,75,-150.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"3",1,17,17,-0.249523809523811,-0.0154117647058825,0,28.16,131.52,136,0,0,0,136,2024-01-03,0,0,"0",0,0,0,1,0.559016657705815,1,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-1.99619047619049,136,0,0,0,0,136,107.84,0,0,0
"4",1679970,2024-01-04,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",5,85,2.4,0,0,2,0.237317152910842,0.237317152910842,0.237317152910842,0,0,0.237317152910842,1,0,0,0,0,0,0.285714285714286,7,85,0,0,85,0,0,2.4,0,0,2.4,0,0,5,0,0,5,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-3,60,-153.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"4",1,17,17,-0.249523809523811,-0.0154117647058825,0,17.6,82.2,85,0,0,0,85,2024-01-04,0,0,"0",0,0,0,0,0.237317152910842,0,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-1.24761904761906,85,0,0,0,0,85,67.4,0,0,0
"5",1679970,2024-01-05,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",4,68,1.92,0,0,3,0.440021871492765,0.440021871492765,0.440021871492765,0,0,0.440021871492765,1,0,0,0,0,0,0.428571428571428,7,68,0,0,68,0,0,1.92,0,0,1.92,0,0,4,0,0,4,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-2,50,-154.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"5",1,17,17,-0.249523809523811,-0.0154117647058825,0,14.08,65.76,68,0,0,0,68,2024-01-05,0,0,"0",0,0,0,1,0.440021871492765,1,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-0.998095238095246,68,0,0,0,0,68,53.92,0,0,0
"6",1679970,2024-01-06,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",10,170,4.8,0,0,2,0.344781662898499,0.344781662898499,0.344781662898499,0,0,0.344781662898499,1,0,0,0,0,0,0.285714285714286,7,170,0,0,170,0,0,4.8,0,0,4.8,0,0,10,0,0,10,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-8,80,-148.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"6",1,17,17,-0.249523809523811,-0.0154117647058825,0,35.2,164.4,170,0,0,0,170,2024-01-06,0,0,"0",0,0,0,1,0.344781662898499,1,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-2.49523809523811,170,0,0,0,0,170,134.8,0,0,0
"7",1679970,2024-01-07,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",5,85,2.4,0,0,3,0.440021871492765,0.440021871492765,0.440021871492765,0,0,0.440021871492765,1,0,0,0,0,0,0.428571428571428,7,85,0,0,85,0,0,2.4,0,0,2.4,0,0,5,0,0,5,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-3,60,-153.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"7",1,17,17,-0.249523809523811,-0.0154117647058825,0,17.6,82.2,85,0,0,0,85,2024-01-07,0,0,"0",0,0,0,1,0.440021871492765,1,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-1.24761904761906,85,0,0,0,0,85,67.4,0,0,0
"8",1679970,2024-01-08,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",4,68,1.92,0,0,3,0.416939713389239,0.416939713389239,0.416939713389239,0,0,0.416939713389239,1,0,0,0,0,0,0.428571428571428,7,68,0,0,68,0,0,1.92,0,0,1.92,0,0,4,0,0,4,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-2,50,-154.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"8",1,17,17,-0.249523809523811,-0.0154117647058825,0,14.08,65.76,68,0,0,0,68,2024-01-08,0,0,"0",0,0,0,1,0.416939713389239,1,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-0.998095238095246,68,0,0,0,0,68,53.92,0,0,0
"9",1679970,2024-01-09,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",2,34,0.96,0,0,2,0.261071730529627,0.261071730529627,0.261071730529627,0,0,0.261071730529627,1,0,0,0,0,0,0.285714285714286,7,34,0,0,34,0,0,0.96,0,0,0.96,0,0,2,0,0,2,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-156.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"9",1,17,17,-0.249523809523811,-0.0154117647058825,0,7.04,32.88,34,0,0,0,34,2024-01-09,0,0,"0",0,0,0,0,0.261071730529627,0,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-0.499047619047623,34,0,0,0,0,34,26.96,0,0,0
"10",1679970,2024-01-10,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",16,272,7.68,0,0,16,1.52384333750825,1.52384333750825,1.52384333750825,1.52384333750825,1.52384333750825,1.52384333750825,1,0,0,0,0,0,2.28571428571429,7,272,272,272,272,0,0,7.68,7.68,7.68,7.68,0,0,16,16,16,16,0,0,34,0.96,2,2,2,2,2,0,0,0.96,0.96,0.96,0.96,0,0,34,34,34,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-14,87.5,-142.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"10",1,17,17,-0.249523809523811,-0.0154117647058825,0,56.32,263.04,272,0,0,0,272,2024-01-10,0,0,"0",0,0,0,1,4.57153001252475,1,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-3.99238095238098,272,0,0,0,0,272,215.68,0,0,0
"11",1679970,2024-01-11,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",1,17,0.48,0,0,1,0.11899478621305,0.11899478621305,0.11899478621305,0,0,0.11899478621305,1,0,0,0,0,0,0.142857142857143,7,17,0,0,17,0,0,0.48,0,0,0.48,0,0,1,0,0,1,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,1,100,-157.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"11",1,17,17,-0.249523809523811,-0.0154117647058825,0,3.52,16.44,17,0,0,0,17,2024-01-11,0,0,"0",0,0,0,0,0.11899478621305,0,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-0.249523809523811,17,0,0,0,0,17,13.48,0,0,0
"12",1679970,2024-01-12,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",2,34,0.96,0,0,2,0.344781662898499,0.344781662898499,0.344781662898499,0,0,0.344781662898499,1,0,0,0,0,0,0.285714285714286,7,34,0,0,34,0,0,0.96,0,0,0.96,0,0,2,0,0,2,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-156.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"12",1,17,17,-0.249523809523811,-0.0154117647058825,0,7.04,32.88,34,0,0,0,34,2024-01-12,0,0,"0",0,0,0,1,0.344781662898499,1,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-0.499047619047623,34,0,0,0,0,34,26.96,0,0,0
"13",1679970,2024-01-13,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",7,119,3.36,0,0,2,0.344781662898499,0.344781662898499,0.344781662898499,0,0,0.344781662898499,1,0,0,0,0,0,0.285714285714286,7,119,0,0,119,0,0,3.36,0,0,3.36,0,0,7,0,0,7,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-5,71.4285714285714,-151.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"13",1,17,17,-0.249523809523811,-0.0154117647058825,0,24.64,115.08,119,0,0,0,119,2024-01-13,0,0,"0",0,0,0,1,0.344781662898499,1,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-1.74666666666668,119,0,0,0,0,119,94.36,0,0,0
"14",1679970,2024-01-14,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",4,68,1.92,0,0,3,0.416939713389239,0.416939713389239,0.416939713389239,0,0,0.416939713389239,1,0,0,0,0,0,0.428571428571428,7,68,0,0,68,0,0,1.92,0,0,1.92,0,0,4,0,0,4,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,-2,50,-154.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"14",1,17,17,-0.249523809523811,-0.0154117647058825,0,14.08,65.76,68,0,0,0,68,2024-01-14,0,0,"0",0,0,0,1,0.416939713389239,1,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-0.998095238095246,68,0,0,0,0,68,53.92,0,0,0
"15",1679970,2024-01-15,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",1,17,0.48,0,0,1,0.202704718581923,0.202704718581923,0.202704718581923,0,0,0.202704718581923,1,0,0,0,0,0,0.142857142857143,7,17,0,0,17,0,0,0.48,0,0,0.48,0,0,1,0,0,1,0,0,34,0.96,2,2,0,0,2,0,0,0.96,0,0,0.96,0,0,34,0,0,34,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,17,17,17,158.837795275591,0,0,0,0,0,0,0,0,0,0,0,2,1,100,-157.837795275591,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"15",1,17,17,-0.249523809523811,-0.0154117647058825,0,3.52,16.44,17,0,0,0,17,2024-01-15,0,0,"0",0,0,0,0,0.202704718581923,0,"Carrefour","UAE",2,32.88,0,32.88,0,0,0,0,0,0,0,0,0,32.88,0,32.88,7.04,0,7.04,0,0,0,0,0,0,32.88,0,32.88,25.84,0,25.84,-0.249523809523811,-0.249523809523811,17,0,0,0,0,17,13.48,0,0,0
"16",1679970,2024-01-17,"D77","DETTOL BS ORIGINAL 4X120G 35%","DETTOL BS ORIGINAL 4X120G 35%","Bar Soap","Bar Soap","RECKITT","Bar Soap","DETTOL","ALL",112,1680,53.76,0,0,48,7.04034994388424,7.04034994388424,7.04034994388424,7.04034994388424,7.04034994388424,7.04034994388424,1,0,0,0,0,0,6.85714285714286,7,1680,1680,1680,1680,0,0,53.76,53.76,53.76,53.76,0,0,112,112,112,112,0,0,30,0.96,2,2,2,2,2,0,0,0.96,0.96,0.96,0.96,0,0,30,30,30,30,0,0,0,0,1679970,15.474118895949,-3.03418183508788,-3.03418183508788,0.583376765378067,0.583376765378067,0.93095459123572,-2.22551473589624,1.5,1.84697356127234,2.77046034190851,0,0,1,15,15,17,158.837795275591,0.882352941176471,0.0912499699594037,2.88050152593851,1.96364758132469,5.32075228890776,0,0,0,0,10.2561513661304,10.164901396171,12.2561513661304,-99.7438486338696,89.0570077088122,-46.8377952755906,206.32621307779,3.34978933874319,"D77","BAR SOAP-All-120GM-35%",1,18,295.92,10,295.92,0,63.36,0.05,0,1,295.92,16.44,3.52,16.44,0,0,"16",1,17,15,-0.249523809523811,-0.0154117647058825,0.335,394.24,1841.28,1680,562.8,224,0,1456,2024-01-17,1,1,"GH",980,140,1,1,21.1210498316527,1,"Carrefour","UAE",12.2561513661304,32.88,168.611128459183,201.491128459183,4,20.5123027322607,24.5123027322607,0,0,0,0,4.10581070765367,4.10581070765367,28.88,148.098825726922,176.978825726922,7.04,36.1016528087789,43.1416528087789,0,140,140,4,164.618113439914,168.618113439914,28.88,3.99301501926877,32.8730150192688,21.84,-32.1086377895101,-10.2686377895101,-1.81928571428572,-203.76,1680,0,0,0,926.8,753.2,358.96,32.8709651284478,68.9726179372267,133.329967759695
